,name,explosion,model,num
431,v3_l3-14,2290,v3_l3,14
432,v3_l3-15,3478,v3_l3,15
433,v3_l3-16,1549,v3_l3,16
434,v3_l3-17,1731,v3_l3,17
435,v3_l3-18,2444,v3_l3,18
436,v3_l3-19,1938,v3_l3,19
437,v3_l3-20,3893,v3_l3,20
438,v3_l3-21,2898,v3_l3,21
439,v3_l3-22,2021,v3_l3,22
440,v3_l3-23,1549,v3_l3,23
441,v3_l3-24,4578,v3_l3,24
442,v3_l3-25,2171,v3_l3,25
443,v3_l3-26,1672,v3_l3,26
444,v3_l3-27,5202,v3_l3,27
445,v3_l3-28,1678,v3_l3,28
446,v3_l3-29,1676,v3_l3,29
447,v3_l3-30,1547,v3_l3,30
